date,actual_close,lstm_pred,gru_pred
2014-07-31,89.661,80.89976,86.23501
2014-08-01,90.158,80.969894,86.157166
2014-08-04,89.652,80.984634,86.06376
2014-08-05,89.21,80.98244,86.07763
2014-08-06,89.059,80.97067,86.11603
2014-08-07,89.049995,80.987915,86.282875
2014-08-08,89.295,80.98832,86.283325
2014-08-11,90.474,81.00081,86.34698
2014-08-12,90.45601,81.04221,86.46922
2014-08-13,91.653,81.03162,86.31715
2014-08-14,91.898,81.05543,86.431526
2014-08-15,92.349,81.0965,86.56135
2014-08-18,93.462,81.1259,86.60669
2014-08-19,94.76201,81.223625,86.941765
2014-08-20,94.798,81.40875,87.439674
2014-08-21,94.80601,81.73738,88.272705
2014-08-22,95.492,82.11327,88.8379
2014-08-25,95.703,82.52758,89.35344
2014-08-26,95.08999,82.96757,89.829445
2014-08-27,96.26601,83.35903,90.008575
2014-08-28,96.372,83.71236,90.17278
2014-08-29,96.61299,84.03318,90.33826
2014-09-02,97.35701,84.32136,90.49707
2014-09-03,93.255,84.59379,90.71165
2014-09-04,92.48201,84.63989,90.09385
2014-09-05,93.284,84.52201,89.54606
2014-09-08,92.706,84.34914,89.33185
2014-09-09,92.359,84.13143,89.13463
2014-09-10,95.184,83.863266,88.87472
2014-09-11,95.595,83.71064,89.11516
2014-09-12,95.81401,83.64878,89.44378
2014-09-15,95.788,83.63816,89.69307
2014-09-16,95.06,83.64775,89.88121
2014-09-17,95.74,83.66085,90.01686
2014-09-18,95.938,83.67762,90.103294
2014-09-19,95.147995,83.70402,90.2078
2014-09-22,95.243,83.70844,90.21088
2014-09-23,96.75,83.68768,90.16358
2014-09-24,95.898,83.816055,90.75183
2014-09-25,92.244,83.99744,91.17679
2014-09-26,94.96701,84.04077,90.856674
2014-09-29,94.359,84.090416,90.84554
2014-09-30,94.96701,84.1345,90.84685
2014-10-01,93.482,84.13749,90.69722
2014-10-02,94.159,84.07263,90.42171
2014-10-03,93.897,83.99396,90.30015
2014-10-06,93.897,83.90985,90.23958
2014-10-07,93.075,83.84072,90.27006
2014-10-08,95.002,83.74865,90.17
2014-10-09,95.203,83.70207,90.27706
2014-10-10,94.952,83.70365,90.462425
2014-10-13,94.075,83.72221,90.57058
2014-10-14,93.075,83.698044,90.43687
2014-10-15,91.93599,83.64189,90.29185
2014-10-16,90.729,83.6036,90.333725
2014-10-17,92.057,83.46319,89.9038
2014-10-20,94.027,83.336754,89.77893
2014-10-21,96.584,83.27904,89.90829
2014-10-22,97.085,83.36013,90.4053
2014-10-23,98.806,83.51138,90.79256
2014-10-24,99.173,83.73411,91.22409
2014-10-27,99.074,83.99317,91.592
2014-10-28,100.6,84.27353,91.947334
2014-10-29,101.18001,84.57924,92.24924
2014-10-30,100.82,84.887566,92.54939
2014-10-31,101.79,85.179985,92.807106
2014-11-03,103.11,85.48958,93.190704
2014-11-04,102.35,85.842125,93.70665
2014-11-05,102.59,86.20475,94.15921
2014-11-06,102.88,86.58936,94.65677
2014-11-07,103.18,86.9639,95.025116
2014-11-10,103.01,87.30904,95.2838
2014-11-11,103.86,87.60102,95.409744
2014-11-12,105.3,87.8653,95.58922
2014-11-13,106.80999,88.12239,95.84254
2014-11-14,108.08,88.39577,96.21896
2014-11-17,107.91001,88.69544,96.70366
2014-11-18,109.32,88.981735,97.116714
2014-11-19,108.54001,89.281334,97.575714
2014-11-20,110.100006,89.56202,97.94585
2014-11-21,110.25,89.84684,98.35992
2014-11-24,112.3,90.124016,98.748276
2014-11-25,111.32,90.454124,99.35176
2014-11-26,112.66,90.75857,99.73945
2014-11-28,112.600006,91.06141,100.14911
2014-12-01,108.94,91.355354,100.54116
2014-12-02,108.51,91.516945,100.46352
2014-12-03,109.73,91.59058,100.35694
2014-12-04,109.34,91.63502,100.39111
2014-12-05,108.87,91.64142,100.40548
2014-12-08,106.39,91.60551,100.37067
2014-12-09,108.02,91.50026,100.19937
2014-12-10,105.99,91.394745,100.177925
2014-12-11,105.67,91.27039,100.1283
2014-12-12,103.88999,91.114426,99.979965
2014-12-15,102.44,90.91891,99.76075
2014-12-16,101.05,90.645424,99.33729
2014-12-17,103.58,90.33394,98.9722
2014-12-18,106.64,90.06929,98.87093
2014-12-19,105.82,89.92239,99.12999
2014-12-22,106.92,89.86999,99.45748
2014-12-23,106.53,89.89695,99.78285
2014-12-24,106.04,89.93551,99.89094
2014-12-26,107.91001,89.971016,99.91985
2014-12-29,107.83999,90.04932,100.1051
2014-12-30,106.51,90.175415,100.39175
2014-12-31,104.49,90.264145,100.3917
2015-01-02,103.5,90.30735,100.30379
2015-01-05,100.58,90.30261,100.14174
2015-01-06,100.58999,90.227516,99.85054
2015-01-07,102.009995,90.12551,99.62772
2015-01-08,105.93,90.056496,99.61028
2015-01-09,106.04,90.05286,99.73759
2015-01-12,103.42,90.04847,99.69431
2015-01-13,104.35,90.001335,99.51062
2015-01-14,103.95,89.94071,99.38664
2015-01-15,101.12,89.87578,99.32317
2015-01-16,100.32,89.76347,99.12301
2015-01-20,102.9,89.583466,98.75999
2015-01-21,103.72,89.441315,98.70786
2015-01-22,106.39,89.36044,98.82885
2015-01-23,106.96,89.392555,99.21564
2015-01-26,107.06,89.50512,99.60831
2015-01-27,103.31,89.695564,100.07013
2015-01-28,109.159996,89.82667,100.05363
2015-01-29,112.57,89.99617,100.23839
2015-01-30,110.91001,90.210884,100.51384
2015-02-02,112.3,90.41528,100.695435
2015-02-03,112.32,90.65791,101.07987
2015-02-04,113.17,90.90919,101.42212
2015-02-05,113.99,91.171715,101.79011
2015-02-06,113.020004,91.47986,102.32381
2015-02-09,113.77,91.792625,102.7312
2015-02-10,115.96,92.092766,103.00963
2015-02-11,118.67,92.39512,103.33356
2015-02-12,120.19,92.715576,103.72665
2015-02-13,120.77,93.05924,104.19869
2015-02-17,121.49,93.41828,104.715965
2015-02-18,122.31,93.84616,105.51677
2015-02-19,122.07,94.288185,106.17702
2015-02-20,123.07001,94.69613,106.64572
2015-02-23,126.399994,95.13132,107.32026
2015-02-24,125.61,95.59787,108.03462
2015-02-25,122.38,96.03069,108.58662
2015-02-26,123.93,96.3382,108.71419
2015-02-27,122.08,96.59678,108.95051
2015-03-02,122.66999,96.80141,109.16157
2015-03-03,122.94,96.98144,109.42376
2015-03-04,122.16,97.13688,109.66338
2015-03-05,120.14,97.23292,109.74125
2015-03-06,120.32,97.23409,109.606735
2015-03-09,120.82,97.196686,109.557625
2015-03-10,118.32,97.15468,109.62015
2015-03-11,116.16,97.07951,109.50096
2015-03-12,116.79,96.95865,109.303314
2015-03-13,117.46999,96.79959,109.15741
2015-03-16,118.74,96.594284,108.87645
2015-03-17,120.73,96.43128,108.8873
2015-03-18,122.09,96.39598,109.32811
2015-03-19,121.17,96.433174,109.72302
2015-03-20,119.66999,96.51645,110.0579
2015-03-23,120.89001,96.57678,110.12221
2015-03-24,120.4,96.64603,110.23656
2015-03-25,117.270004,96.71683,110.339195
2015-03-26,118.07,96.74407,110.279564
2015-03-27,117.14,96.75639,110.24101
2015-03-30,120.1,96.73166,110.09809
2015-03-31,118.24,96.77895,110.34295
2015-04-01,118.08001,96.84925,110.53086
2015-04-02,119.1,96.908966,110.57623
2015-04-06,121.01999,96.96836,110.62039
2015-04-07,119.76,97.047066,110.74242
2015-04-08,119.37,97.08528,110.669655
2015-04-09,120.27999,97.07602,110.52129
2015-04-10,120.78,97.08066,110.59362
2015-04-13,120.54,97.12889,110.85122
2015-04-14,120.03,97.17531,110.984436
2015-04-15,120.479996,97.21542,111.07823
2015-04-16,119.91,97.31737,111.43916
2015-04-17,118.55,97.41494,111.59277
2015-04-20,121.27,97.48094,111.59361
2015-04-21,120.59999,97.54254,111.612816
2015-04-22,122.22,97.62192,111.75628
2015-04-23,123.24,97.74406,112.03229
2015-04-24,123.82,97.889565,112.28882
2015-04-27,126.06,98.02839,112.439575
2015-04-28,124.06,98.23353,112.89584
